Players,AB,R,HR,RBI,SB,AVG,VAL,AUC VAL,POS
Jose Altuve 2B | HOU ,597,99.89203745,22.36486096,70.84045974,10.79612266,0.278,11.56631188,23,4
Jose Abreu 1B | CHW ,562,84.20794672,32.84052924,112.459747,1.341791891,0.288666667,11.50258325,29,3
Rhys Hoskins 1B | PHI ,561,101.3845708,33.29240628,92.25668342,3.570178187,0.238666667,11.4796702,16,3
Rafael Devers 3B | BOS,591,92.27950979,28.2772818,100.4217203,4.624746694,0.271333333,11.4684575,32,5
Nick Senzel CF | CIN ,544,76,19,66,17,0.25,11.4205,14,7
Victor Robles CF | WAS ,549,69,15,52,23,0.224,11.415384,12,7
Willi Castro SS | DET ,582,94.74418605,27.06976744,108.2790698,0,0.349,11.38686656,11,5
Willi Castro SS | DET ,582,94.74418605,27.06976744,108.2790698,0,0.349,11.38686656,11,6
Adam Eaton RF | CHW,557,94,18,65,14,0.266,11.354956,7,7
Anthony Rizzo 1B | CHC,570,82.20330852,28.7073239,91.25046033,6.677484799,0.266,11.3161007,19,3
Tommy Edman 3B | STL ,570,89,20,72,12,0.274,11.268684,14,7
Jonathan Villar 2B | NYM,384,45.95805374,10.01432407,37.56808865,28.65908206,0.255333333,11.257073,9,4
Jonathan Villar 2B | NYM,384,45.95805374,10.01432407,37.56808865,28.65908206,0.255333333,11.257073,9,6
Eloy Jimenez LF | CHW ,568,82,28,104,4,0.287,11.255742,12,7
Ryan Braun RF | MIL,555,76,25,85,10,0.263,11.245558,10,7
Michael Conforto RF | NYM,541,93,24,80,8,0.279,11.235014,21,7
Hunter Dozier 1B | KC ,529,90,30,80,6,0.268,11.218888,9,7
Clint Frazier RF | NYY ,453,80,28,81,8,0.272,11.203752,15,7
Max Kepler RF | MIN,555,96,31,85,5,0.241,11.203306,16,7
Alex Bregman 3B | HOU ,517,89.81449628,28.50590805,89.50262434,4.456589562,0.274666667,11.09639777,35,5
Rougned Odor 2B | TEX ,532,73.86692027,29.77598964,93.71421462,8.2263608,0.208333333,11.0678181,5,4
Leody Taveras CF | TEX,495,80,22,63,13,0.253,10.956898,7,7
Dansby Swanson SS | ATL ,546,86.06159478,19.41566593,73.8348259,11.41530977,0.254333333,10.89831675,20,6
Paul Goldschmidt 1B | STL ,579,93.60212194,27.79475556,79.59184497,4.258566656,0.284666667,10.8970334,21,3
J.T. Realmuto C | PHI ,483,83.21952038,24.80645717,79.59557599,7.428430519,0.272666667,10.84752688,25,2
Kolten Wong 2B | MIL,576,74.38248583,10.37436766,61.3396757,18.20749086,0.266,10.80458742,9,4
Ian Happ CF | CHC ,559,80,32,83,4,0.268,10.803888,14,7
Josh Donaldson 3B | MIN ,544,92.1410339,33.41068242,77.97651071,3.260583982,0.242333333,10.77772373,17,5
Jesse Winker LF | CIN ,527,85,29,77,6,0.254,10.774364,12,7
Andrew McCutchen LF | PHI,567,88,23,73,9,0.25,10.7475,12,7
Aaron Hicks CF | NYY,516,89,24,77,8,0.244,10.735704,11,7
